"source file","M/Z","Intensity","Ret Time","Intensity Relative to Standard","Closest matched MW","Error (ppm) to closest MW match","Closest match Type","Closest matched formula","Closest matched formula DBE","Molecular ion matching MWs","Molecular ion matching chemical formulas","Molecular ion matching SMILES","Molecular ion matching chemical names","Deprotonated matching MWs","Deprotonated matching chemical formulas","Deprotonated matching SMILES","Deprotonated matching chemical names","Deprotonated matching MWs","Protonated matching chemical formulas","Protonated matching SMILES","Protonated matching chemical names"
"DIMER_27_362DA_APPI_363HCD10.csv",286.1185,603000.0,nan,nan,286.12051,7.025,"same","C17H18O4",9.0,"(286.12051, 7.0)","('C17H18O4', 9.0)","{'C=CCC1=CC(C2=CC=CC(OC)=C2O)=C(O)C(OC)=C1', 'COC1=C(O)C=CC(C=C(C)OC2=C(OC)C=CC=C2)=C1', 'COC1=CC(C=C(C)OC2=C(OC)C=CC=C2)=CC=C1O', 'COC1=CC(OC)=CC(C=CC2=CC(OC)=C(O)C=C2)=C1', 'COC1=CC=CC(C(O)=C(C)OC2=CC=CC=C2OC)=C1'}","[{'postulated structure'}, {'2-methoxy-4-[2-(2-methoxyphenoxy)prop-1-enyl]phenol'}, {'2-methoxy-4-[2-(2-methoxyphenoxy)prop-1-enyl]phenol'}, {'4-[2-(3,5-dimethoxyphenyl)ethenyl]-2-methoxyphenol'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",286.1259,664000.0,nan,nan,286.12051,18.838,"same","C17H18O4",9.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",295.1274,995000.0,nan,nan,294.29227,2837.757,"same","C20H38O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",295.1349,9100000.0,nan,nan,294.29227,2863.242,"same","C20H38O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",295.1424,5300000.0,nan,nan,294.29227,2888.727,"same","C20H38O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",296.1337,843000.0,nan,nan,296.14124,25.461,"same","C19H20O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",296.1412,2070000.0,nan,nan,296.14124,0.135,"same","C19H20O3",10.0,"(296.14124, 0.1)","('C19H20O3', 10.0)","{'CC=CC1=CC=C(OC(C)=CC2=CC=C(O)C=C2)C(OC)=C1', 'C=CCC1=CC=C(O)C(C2=C(O)C(OC)=CC(CC=C)=C2)=C1'}","[{'postulated structure'}, {'2-(2-hydroxy-5-prop-2-enylphenyl)-6-methoxy-4-prop-2-enylphenol'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",296.1487,729000.0,nan,nan,296.14124,25.191,"same","C19H20O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",299.125,3230000.0,nan,nan,298.19328,3124.551,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",299.1325,10800000.0,nan,nan,298.19328,3149.702,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",299.1401,2340000.0,nan,nan,298.19328,3175.189,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",300.1305,1260000.0,nan,nan,300.13616,18.858,"same","C18H20O4",9.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",300.138,1620000.0,nan,nan,300.13616,6.131,"same","C18H20O4",9.0,"(300.13616, 6.1)","('C18H20O4', 9.0)","{'C=CC1=CC(OC)=C(O)C(C2=C(O)C(OC)=CC(CC)=C2)=C1', 'CC=CC1=CC(OC)=C(O)C(C2=C(O)C(OC)=CC(C)=C2)=C1'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",312.135,810000.0,nan,nan,312.13616,3.716,"same","C19H20O4",10.0,"(312.13616, 3.7)","('C19H20O4', 10.0)","{'C=CCC1=CC(O)=C(O)C(C2=C(O)C(OC)=CC(CC=C)=C2)=C1', 'COC1=C2CCCC2=CC2=C1OC(C1=CC=C(O)C(O)=C1)C2C', 'COC1=CC(C=CC(C)=CC2=CC(OC)=C(O)C=C2)=CC=C1O'}","[{'3-(2-hydroxy-3-methoxy-5-prop-2-enylphenyl)-5-prop-2-enylbenzene-1,2-diol'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",312.1427,986000.0,nan,nan,312.13616,20.952,"same","C19H20O4",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",313.1389,602000.0,nan,nan,312.13616,3202.221122958407,"same","C19H20O4*",10.0,"(312.13616, 3.7)","('C19H20O4', 10.0)","{'C=CCC1=CC(O)=C(O)C(C2=C(O)C(OC)=CC(CC=C)=C2)=C1', 'COC1=C2CCCC2=CC2=C1OC(C1=CC=C(O)C(O)=C1)C2C', 'COC1=CC(C=CC(C)=CC2=CC(OC)=C(O)C=C2)=CC=C1O'}","[{'3-(2-hydroxy-3-methoxy-5-prop-2-enylphenyl)-5-prop-2-enylbenzene-1,2-diol'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",313.1466,1520000.0,nan,nan,314.07904,2968.807,"same","C17H14O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",313.1544,644000.0,nan,nan,314.07904,2943.972,"same","C17H14O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",317.1396,4880000.0,nan,nan,318.07395,2937.524,"same","C16H14O7",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",317.1473,3780000.0,nan,nan,318.07395,2913.316,"same","C16H14O7",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",318.1437,920000.0,nan,nan,318.14672,9.492,"same","C18H22O5",8.0,"(318.14672, 9.5)","('C18H22O5', 8.0)","{'OCCCC1=CC=C(OC2=C(O)C(O)=CC(CCCO)=C2)C=C1', 'COC1=CC(C(C)CC2=CC(OC)=C(O)C(OC)=C2)=CC=C1O', 'COC1=C(O)C(OC)=CC(CC(C)C2=CC=CC(OC)=C2O)=C1', 'COC1=C(O)C=CC(CC(CO)C2=CC(C)=CC(OC)=C2O)=C1', 'COC1=CC(CC(C)C2=CC(OC)=C(O)C(OC)=C2)=CC=C1O', 'OCCCC1=CC=C(O)C(C2=C(O)C(O)=CC(CCCO)=C2)=C1'}","[{'postulated structure'}, {'s-g beta-1 fragment'}, {'s-g beta-5 fragment'}, {'g-g beta-5 rcf dimer 10 fragment'}, {'g-s beta-1 fragment'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",318.1515,660000.0,nan,nan,318.14672,15.025,"same","C18H22O5",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",327.1575,2150000.0,nan,nan,328.09469,2856.462,"same","C18H16O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",327.1654,3580000.0,nan,nan,328.09469,2832.384,"same","C18H16O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",327.1733,669000.0,nan,nan,328.09469,2808.305,"same","C18H16O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",328.1695,621000.0,nan,nan,328.16746,6.216,"same","C20H24O4",9.0,"(328.16746, 6.2)","('C20H24O4', 9.0)","{'CCCC1=CC2=C(OC(C3=CC(OC)=C(O)C=C3)C2C)C(OC)=C1', 'CC=CC1=CC(C2=C(O)C(OC)=CC(CCC)=C2)=C(O)C(OC)=C1', 'CCC1C2=C(C=C(O)C(OC)=C2)C(C2=CC(OC)=C(O)C=C2)C1C'}","[{'dihydrodehydrodiisoeugenol', '2-methoxy-4-(7-methoxy-3-methyl-5-propyl-2,3-dihydro-1-benzofuran-2-yl)phenol', 'dehydrodihydrodiisoeugenol'}, {'rcf dimer'}, {'diisoeugenol', '1-ethyl-3-(4-hydroxy-3-methoxyphenyl)-6-methoxy-2-methyl-2,3-dihydro-1h-inden-5-ol'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",345.1653,1130000.0,nan,nan,346.08412,2654.904,"same","C21H14O5",15.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",345.1734,3950000.0,nan,nan,346.08412,2631.499,"same","C21H14O5",15.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",345.1815,1540000.0,nan,nan,346.08412,2608.094,"same","C21H14O5",15.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",346.1803,627000.0,nan,nan,346.17802,6.586,"same","C20H26O5",8.0,"(346.17802, 6.6)","('C20H26O5', 8.0)","{'CCCC1=CC(CCC2=CC(OC)=C(O)C(OC)=C2)=C(O)C(OC)=C1', 'COC1=C(O)C=CC(CC(C)C2=CC(CCCO)=CC(OC)=C2O)=C1', 'COC1=C(O)C=CC(CCC(C)CC2=CC(OC)=C(O)C(OC)=C2)=C1', 'COC1=CC(CC(C)CCC2=CC(OC)=C(O)C(OC)=C2)=CC=C1O', 'CCCC1=CC(C(CO)CC2=CC=C(O)C(OC)=C2)=C(O)C(OC)=C1', 'CCCC1=CC(OC)=C(O)C(C(CO)CC2=CC(OC)=C(O)C=C2)=C1'}","[{'2-[2-(4-hydroxy-3,5-dimethoxyphenyl)ethyl]-6-methoxy-4-propylphenol'}, {'g-g beta-5 rcf dimer 10 fragment'}, {'postulated structure'}, {'postulated structure'}, {'2-[1-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propan-2-yl]-6-methoxy-4-propylphenol'}, {'2-methoxy-4-[2-(2-hydroxy-3-methoxy-5-propylphenyl)-3-hydroxypropyl]phenol', '2-[1-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propan-2-yl]-6-methoxy-4-propylphenol'}]","","","","","","","",""
